http://cloc.sourceforge.net v 1.64  T=0.99 s (158.1 files/s, 32711.5 lines/s)
------------------------------------------------------------------------------------------------------
File                                                               blank        comment           code
------------------------------------------------------------------------------------------------------
./Core/Utilities/Primes.cs                                            54             18           1139
./Core/Editor/GUIDrawers.cs                                          281             75            954
./Core/DataTypes/HashMap.cs                                          220             48            702
./Core/Utilities/Bitwise.cs                                          233             29            675
./Core/Utilities/Vectors.cs                                          218             17            647
./Core/AssetTypes/SceneRef.cs                                        191             15            635
./Core/Utilities/Logging.cs                                          138             29            539
./Core/Utilities/RichText.cs                                         166             26            539
./Core/Editor/AssetObjects.cs                                        154             33            530
./Core/Editor/GUIDrawers/IMapDrawer.cs                               131             21            477
./Core/Editor/Styles.cs                                              111             17            476
./Core/Utilities/Rects.cs                                            106             11            428
./Core/Utilities/Serializer.cs                                       133             18            428
./Core/Utilities/Filesystem.cs                                       148             19            404
./Core/Editor/Inspectors.cs                                          110             34            400
./Core/ComponentTypes/RootScene.cs                                   106              9            388
./Core/AssetTypes/SpawnPool.cs                                       108             11            378
./Core/Utilities/Colors.cs                                           102             12            367
./Core/DataTypes/CellRect.cs                                          60             11            300
./Core/Utilities/Lists.cs                                            109             20            291
./Core/Editor/SerializedProperties.cs                                 84             26            283
./Core/DataTypes/FilePath.cs                                         107             13            277
./Core/DataTypes/SerialValueMap.cs                                    78             14            276
./Core/Utilities/Integers.cs                                          96             18            268
./Core/Attributes/SerializeStaticAttribute.cs                         84             18            258
./Core/Utilities/TypeMembers.cs                                       83              9            237
./Core/Utilities/Strings.cs                                           71             20            237
./Core/DataTypes/SerialHashMap.cs                                     93              8            233
./Core/Utilities/Floats.cs                                            77             15            230
./Core/DataTypes/ObjectPool.cs                                        76             13            222
./Audio/AssetTypes/AudioEventRef.cs                                   53             10            212
./Core/Utilities/Scenes.cs                                            66             14            208
./Core/Editor/GUIDrawers/SerialDelegateDrawer.cs                      70             11            199
./Core/DataTypes/CellLine.cs                                          61             23            198
